-4.99666000	-0.00000083
-4.89697000	-0.00000084
-4.79535000	-0.00000087
-4.69423000	-0.00000085
-4.59148000	-0.00000088
-4.48953000	-0.00000090
-4.38729000	-0.00000086
-4.28578000	-0.00000096
-4.18328000	-0.00000092
-4.08148000	-0.00000090
-3.97931000	-0.00000086
-3.87801000	-0.00000089
-3.77625000	-0.00000088
-3.67246000	-0.00000088
-3.57079000	-0.00000087
-3.46821000	-0.00000089
-3.36700000	-0.00000086
-3.26466000	-0.00000088
-3.16249000	-0.00000086
-3.06060000	-0.00000085
-2.95799000	-0.00000089
-2.85663000	-0.00000086
-2.75473000	-0.00000092
-2.65187000	-0.00000089
-2.55112000	-0.00000093
-2.44828000	-0.00000101
-2.34636000	-0.00000097
-2.24450000	-0.00000093
-2.14346000	-0.00000094
-2.04064000	-0.00000100
-1.93852000	-0.00000102
-1.83639000	-0.00000099
-1.73452000	-0.00000099
-1.63262000	-0.00000091
-1.53275000	-0.00000095
-1.43064000	-0.00000092
-1.32628000	-0.00000094
-1.22319000	-0.00000094
-1.12182000	-0.00000092
-1.02032000	-0.00000097
-0.91890000	-0.00000097
-0.81604600	-0.00000099
-0.71390500	-0.00000099
-0.61174600	-0.00000094
-0.51105500	-0.00000097
-0.40868900	-0.00000096
-0.30616500	-0.00000097
-0.20396900	-0.00000098
-0.10251500	-0.00000099
-0.00660324	-0.00000099
0.00040245	0.00000099
0.10189500	0.00000097
0.20253500	0.00000095
0.30558800	0.00000092
0.40714000	0.00000091
0.50976500	0.00000096
0.60956900	0.00000093
0.71192400	0.00000091
0.81561100	0.00000095
0.91736800	0.00000090
1.01889000	0.00000083
1.11933000	0.00000088
1.22089000	0.00000087
1.32596000	0.00000096
1.42758000	0.00000096
1.52992000	0.00000104
1.62889000	0.00000107
1.73093000	0.00000120
1.83576000	0.00000127
1.93686000	0.00000135
2.03928000	0.00000146
2.13913000	0.00000155
2.24080000	0.00000168
2.34520000	0.00000176
2.44773000	0.00000189
2.54926000	0.00000201
2.64781000	0.00000210
2.75019000	0.00000222
2.85567000	0.00000237
2.95768000	0.00000251
3.05930000	0.00000270
3.15793000	0.00000281
3.26032000	0.00000302
3.36585000	0.00000316
3.46768000	0.00000335
3.56968000	0.00000350
3.67214000	0.00000367
3.77196000	0.00000386
3.87672000	0.00000402
3.97881000	0.00000423
4.08044000	0.00000440
4.18119000	0.00000464
4.28279000	0.00000487
4.38709000	0.00000503
4.48891000	0.00000526
4.59093000	0.00000551
4.68959000	0.00000579
4.79153000	0.00000602
4.89661000	0.00000632
4.99887000	0.00000658
